代號,除息日,息值(元),前一日收盤價,除息參考價,20日後收盤價,60日後收盤價,120日後收盤價,240日後收盤價,20日最高價,60日最高價,120日最高價,240日最高價,industry,RSI10,RSI14,MOM5,MOM10,new_h_5,new_h_10,new_h_20,new_h_60,new_l_5,new_l_10,new_l_20,new_l_60,above_MA5,above_MA10,above_MA20,above_MA60,MA5>10,MA10>20,MA20>60,Bias5_P,Bias10_P,Bias20_P,Bias60_P,Bias5_V,Bias10_V,Bias20_V,Bias60_V,ROC_II_20,PE_level,ROE,DPR,dividend_yield,20日內填息,60日內填息,120日內填息,240日內填息,20日內位階,60日內位階,120日內位階,240日內位階,20日填息率,60日填息率,120日填息率,240日填息率,20日內賺錢,60日內賺錢,120日內賺錢,240日內賺錢,20日不設限填息率,60日不設限填息率,120日不設限填息率,240日不設限填息率
2923,2016-10-11,0.36,18.54,18.18,17.4,16.99,17.03,14.89,18.91,18.91,18.91,18.91,2,53.39351722003533,54.82921601054439,-0.8000000000000007,-0.8500000000000014,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,-0.007765314926660902,-0.01583226358579375,0.014892443463872026,0.06869046697126929,-0.5189003436426117,-0.7081813444502345,-0.5783132530120483,-0.513677811550152,4.097622627278841,4,0.49,0.2155688622754491,0.015652173913043476,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,1.0,1.0,1.0,1.0
2505,2016-10-19,0.4,16.04,15.639999999999999,14.77,14.46,16.59,14.77,16.16,16.16,17.56,17.56,2,52.950290093052324,53.106403613147975,0.29999999999999893,0.0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0.021021021021020835,0.009651076466221199,-0.004938723248582423,0.04254503641241854,1.1846846846846848,0.8063314711359405,-0.039128281327389866,-0.28966639544345,1.9904936239597548,5,-1.12,-4.999999999999999,0.029411764705882356,0,0,1,1,-1,-1,1,1,0.0,0.0,1.0,1.0,0,0,1,1,-1.0,-1.0,1.0,1.0
2506,2016-10-20,0.2,10.95,10.75,10.25,10.2,10.11,9.55,10.95,13.45,13.45,13.45,2,54.24242379219903,50.974984892616845,0.15000000000000036,0.0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0.021276595744681007,0.011804384485666121,0.005025125628140716,-0.005043874801354245,0.5893271461716937,0.7631917631917631,0.24488868696047256,0.20953502060035317,-2.3712874636357406,5,2.15,0.35714285714285715,0.016666666666666666,0,1,1,1,-1,1,1,1,0.0,1.0,1.0,1.0,0,1,1,1,-1.0,1.0,1.0,1.0
2428,2016-10-25,2.5,52.52,50.02,52.52,55.01,53.35,80.97,53.85,56.91,59.72,90.16,3,61.70492645204105,62.434541991855085,1.0,-0.9000000000000057,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0.012891344383057144,0.00563766570166083,0.015228426395939115,0.10500320897396545,0.47497982243744946,0.0321942953967805,0.054719907657901315,-0.0025924409878564296,2.4967251256183154,5,6.59,0.3968253968253968,0.03787878787878788,0,1,1,1,-1,1,1,1,0.0,1.0,1.0,1.0,0,1,1,1,0.0,1.0,1.0,1.0
2514,2016-10-31,0.21,16.0,15.79,17.06,16.81,16.61,14.27,17.16,18.07,18.07,18.07,2,25.0468888056462,28.338928103461242,-0.8000000000000007,-1.6000000000000014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.02652200120554538,-0.05195186380980341,-0.07063731837145741,-0.048647587256393975,-0.7270569620253164,-0.5932083480721613,-0.5209996528982992,-0.5299407316574699,-7.911792196053858,4,6.19,0.10606060606060606,0.013003095975232198,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,1.0,1.0,1.0,1.0
5287,2016-10-04,12.0,138.47,126.47,123.55,120.47,137.07,157.8,139.22,139.22,147.52,185.46,3,74.55001558885847,66.23389372523852,10.0,10.5,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0.029907329401853387,0.03689567430025445,0.04364528865649343,0.010817887411286434,1.8434065934065933,2.7773722627737225,3.394904458598726,2.9642515161187357,-8.669089784239425,4,9.54,0.9188361408882082,0.049079754601226995,0,0,0,1,-1,-1,-1,1,0.0,0.0,0.0,1.0,0,0,0,1,-1.0,-1.0,-0.11666666666666714,1.0
2387,2016-10-05,0.48,18.78,18.3,18.51,16.97,20.01,18.07,19.26,19.26,22.1,22.1,3,89.28938181999703,84.41490444184979,1.6500000000000021,1.9500000000000028,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.07500000000000008,0.08494533221194293,0.1022500712047851,0.12505450845486707,2.28,0.0274079874706343,-0.14091147197485598,-0.29969397195929115,-2.1583822023643395,4,1.52,0.1853281853281853,0.024806201550387593,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,1.0,1.0,1.0,1.0
8115,2016-10-06,0.3,12.76,12.459999999999999,12.96,12.59,12.59,12.77,13.32,14.05,17.7,17.7,3,52.813001795831504,54.11376202685493,0.48999999999999844,0.7800000000000011,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.006846556584776441,0.006188056547768779,0.005732676254651517,0.12402701411590594,-0.43820224719101125,-0.4708994708994709,-0.5061728395061729,-0.5789473684210527,4.0592168099331305,5,30.45,0.03671970624235006,0.015,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,1.0,1.0,1.0,1.0
2062,2016-10-06,1.0,38.64,37.64,36.9,36.54,37.45,34.94,39.55,39.55,40.78,44.25,0,53.30563660227672,52.99124907750649,0.05000000000000426,0.6499999999999986,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,-0.0034482758620690956,0.0028918449971081723,0.003704561241028027,0.008080925527585625,0.12312444836716684,0.24328285295554478,0.0441025641025641,-0.48772141706924316,-0.8419914255919037,4,3.95,0.21645021645021645,0.02306805074971165,0,0,1,1,-1,-1,1,1,0.0,0.0,1.0,1.0,0,0,1,1,-1.0,-1.0,1.0,1.0
5478,2016-10-06,1.5,50.89,49.39,47.53,49.56,51.05,53.94,51.12,51.83,53.39,75.67,3,52.96070238670535,50.64974757503615,-0.6000000000000085,1.5999999999999943,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,-0.0026954177897575145,0.01108243509943822,0.014934471197805471,-0.027263875365141257,-0.05995203836930456,0.0801873794433729,-0.22168172341904097,-0.5474137931034483,4.6581198793029355,4,0.95,0.49180327868852464,0.022522522522522525,0,0,1,1,-1,-1,1,1,0.0,0.0,1.0,1.0,0,0,1,1,-1.0,-0.8866666666666655,1.0,1.0
